Macrotrends Data Download

CAC 40 Index - 27 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1993-03-24,1954.6000
1993-03-25,2001.4000
1993-03-26,2025.8000
1993-03-29,2033.9000
1993-03-30,2035.9000
1993-03-31,2031.4000
1993-04-01,2005.9000
1993-04-02,1990.8000
1993-04-05,1974.7000
1993-04-06,1995.3000
1993-04-07,1984.0000
1993-04-08,1986.9000
1993-04-13,2018.1000
1993-04-14,2015.4000
1993-04-15,1988.6000
1993-04-16,1986.7000
1993-04-19,1968.9000
1993-04-20,1949.3000
1993-04-21,1931.9000
1993-04-22,1944.5000
1993-04-23,1916.6000
1993-04-26,1911.6000
1993-04-27,1927.4000
1993-04-28,1942.5000
1993-04-29,1920.6000
1993-04-30,1939.0000
1993-05-03,1937.0000
1993-05-04,1923.6000
1993-05-05,1926.3000
1993-05-06,1920.5000
1993-05-07,1878.6000
1993-05-10,1877.2000
1993-05-11,1854.5000
1993-05-12,1872.7000
1993-05-13,1879.9000
1993-05-14,1851.7000
1993-05-17,1835.7000
1993-05-18,1846.4000
1993-05-19,1836.8000
1993-05-24,1861.4000
1993-05-25,1891.1000
1993-05-26,1890.4000
1993-05-27,1904.6000
1993-05-28,1888.7000
1993-06-01,1872.8000
1993-06-02,1875.8000
1993-06-03,1867.9000
1993-06-04,1859.7000
1993-06-07,1887.9000
1993-06-08,1893.7000
1993-06-09,1915.2000
1993-06-10,1911.2000
1993-06-11,1920.4000
1993-06-14,1916.8000
1993-06-15,1897.9000
1993-06-16,1918.8000
1993-06-17,1900.3000
1993-06-18,1910.3000
1993-06-21,1929.2000
1993-06-22,1935.3000
1993-06-23,1942.4000
1993-06-24,1963.3000
1993-06-25,1960.8000
1993-06-28,1991.0000
1993-06-29,1977.5000
1993-06-30,1971.9000
1993-07-01,1960.2000
1993-07-02,1941.2000
1993-07-05,1925.4000
1993-07-06,1935.1000
1993-07-07,1943.7000
1993-07-08,1980.4000
1993-07-09,1985.7000
1993-07-12,1992.2000
1993-07-13,1991.2000
1993-07-15,1963.1000
1993-07-16,1974.9000
1993-07-19,1981.7000
1993-07-20,1968.4000
1993-07-21,1947.5000
1993-07-22,1965.7000
1993-07-23,1995.0000
1993-07-26,2006.2000
1993-07-27,1998.1000
1993-07-28,1989.5000
1993-07-29,2036.0000
1993-07-30,2085.8999
1993-08-02,2129.0000
1993-08-03,2110.6001
1993-08-04,2101.3999
1993-08-05,2115.3000
1993-08-06,2149.8000
1993-08-09,2138.5000
1993-08-10,2139.8000
1993-08-11,2167.3999
1993-08-12,2161.8999
1993-08-13,2148.0000
1993-08-17,2136.3000
1993-08-18,2160.8000
1993-08-19,2139.2000
1993-08-20,2128.2000
1993-08-23,2111.3999
1993-08-24,2123.3999
1993-08-25,2159.3000
1993-08-26,2173.6001
1993-08-27,2183.8999
1993-08-30,2205.7000
1993-08-31,2216.5000
1993-09-01,2191.8999
1993-09-02,2185.1001
1993-09-03,2156.1001
1993-09-06,2158.0000
1993-09-07,2137.3000
1993-09-08,2129.3999
1993-09-09,2108.8000
1993-09-10,2108.3999
1993-09-13,2119.1001
1993-09-14,2134.1001
1993-09-15,2078.5000
1993-09-16,2075.6001
1993-09-17,2099.5000
1993-09-20,2107.3999
1993-09-21,2094.3999
1993-09-22,2080.0000
1993-09-23,2057.5000
1993-09-24,2092.6001
1993-09-27,2108.6001
1993-09-28,2120.0000
1993-09-29,2126.8000
1993-09-30,2114.6001
1993-10-01,2116.7000
1993-10-04,2128.7000
1993-10-05,2158.8000
1993-10-06,2164.5000
1993-10-07,2147.3999
1993-10-08,2156.3999
1993-10-11,2138.7000
1993-10-12,2126.8999
1993-10-13,2127.3000
1993-10-14,2113.8999
1993-10-15,2139.3000
1993-10-18,2145.0000
1993-10-19,2147.3000
1993-10-20,2149.7000
1993-10-21,2199.7000
1993-10-22,2231.8999
1993-10-25,2227.7000
1993-10-26,2210.3999
1993-10-27,2192.0000
1993-10-28,2196.0000
1993-10-29,2182.0000
1993-11-02,2169.7000
1993-11-03,2171.2000
1993-11-04,2136.0000
1993-11-05,2081.0000
1993-11-08,2084.8000
1993-11-09,2112.8999
1993-11-10,2087.3000
1993-11-12,2096.8999
1993-11-15,2117.8999
1993-11-16,2115.8999
1993-11-17,2148.0000
1993-11-18,2149.7000
1993-11-19,2145.2000
1993-11-22,2082.6001
1993-11-23,2071.5000
1993-11-24,2070.6001
1993-11-25,2118.3999
1993-11-26,2120.6001
1993-11-29,2119.3000
1993-11-30,2110.1001
1993-12-01,2154.0000
1993-12-02,2160.5000
1993-12-03,2188.3999
1993-12-06,2186.7000
1993-12-07,2176.1001
1993-12-08,2205.3000
1993-12-09,2211.3999
1993-12-10,2198.1001
1993-12-13,2196.3000
1993-12-14,2156.5000
1993-12-15,2162.6001
1993-12-16,2160.3000
1993-12-17,2196.3999
1993-12-20,2223.5000
1993-12-21,2215.8999
1993-12-22,2225.8000
1993-12-23,2243.0000
1993-12-24,2251.5000
1993-12-27,2276.6001
1993-12-28,2264.6001
1993-12-29,2281.8999
1993-12-30,2281.2000
1993-12-31,2268.2000
1994-01-03,2290.6001
1994-01-04,2274.3000
1994-01-05,2249.6001
1994-01-06,2275.1001
1994-01-07,2307.6001
1994-01-10,2317.3000
1994-01-11,2331.3000
