"date","Mkt.RF","SMB","HML","RF"
2011-10-31,-2.5,0.1,-0.86,0
2011-11-01,-2.86,-0.49,-1.17,0
2011-11-02,1.72,0.74,0.94,0
2011-11-03,1.97,0.6,-0.15,0
2011-11-04,-0.53,0.02,-0.66,0
2011-11-07,0.48,-0.7,0.4,0
2011-11-08,1.21,-0.01,0.55,0
2011-11-09,-3.78,-0.77,-0.68,0
2011-11-10,0.83,0.05,0.55,0
2011-11-11,1.98,0.46,-0.18,0
2011-11-14,-0.92,-0.44,-0.86,0
2011-11-15,0.56,0.88,-0.25,0
2011-11-16,-1.64,-0.15,-0.17,0
2011-11-17,-1.65,0.23,0.15,0
2011-11-18,-0.07,0.03,0.91,0
2011-11-21,-1.87,-0.49,-0.04,0
2011-11-22,-0.44,-0.28,-0.53,0
2011-11-23,-2.29,-0.7,-0.28,0
2011-11-25,-0.34,-1.02,0.48,0
2011-11-28,3.1,1.59,-0.64,0
2011-11-29,0.18,-0.51,0.11,0
2011-11-30,4.44,1.05,1.17,0
2011-12-01,-0.22,-0.5,-0.67,0
2011-12-02,0.05,0.44,0.63,0
2011-12-05,1.09,0.28,0.29,0
2011-12-06,0.04,-0.07,0.04,0
2011-12-07,0.16,-0.31,0.74,0
2011-12-08,-2.23,-0.74,-1.03,0
2011-12-09,1.83,1.31,0.13,0
2011-12-12,-1.48,0.07,-0.49,0
2011-12-13,-1.05,-1.01,0.08,0
2011-12-14,-1.21,-0.28,0.91,0
2011-12-15,0.4,0.64,0.16,0
2011-12-16,0.45,0.22,-0.06,0
2011-12-19,-1.31,-0.41,-0.71,0
2011-12-20,3.1,0.76,0.35,0
2011-12-21,0.2,0,1.29,0
2011-12-22,0.83,-0.2,0.66,0
2011-12-23,0.84,-0.62,-0.12,0
2011-12-27,0.04,0.5,-0.55,0
2011-12-28,-1.34,-0.7,-0.08,0
2011-12-29,1.1,0.19,0.29,0
2011-12-30,-0.4,-0.05,-0.18,0
2012-01-03,1.5,-0.18,0.92,0
2012-01-04,0,-0.65,0.03,0
2012-01-05,0.39,0.18,0.19,0
2012-01-06,-0.19,0.02,-0.27,0
2012-01-09,0.28,0.23,-0.06,0
2012-01-10,0.97,0.37,0.38,0
2012-01-11,0.13,0.17,0.32,0
2012-01-12,0.31,0.29,0,0
2012-01-13,-0.52,-0.24,-0.43,0
2012-01-17,0.36,-0.09,-0.75,0
2012-01-18,1.22,0.56,0.19,0
2012-01-19,0.51,-0.14,-0.21,0
2012-01-20,0.03,0.24,0.65,0
2012-01-23,0.02,-0.3,0.16,0
2012-01-24,0,0.82,-0.32,0
2012-01-25,0.91,0.11,-0.8,0
2012-01-26,-0.59,0.22,-0.45,0
2012-01-27,0.01,0.81,-0.13,0
2012-01-30,-0.31,-0.44,-0.29,0
2012-01-31,-0.05,-0.05,0.01,0
2012-02-01,1.1,1.09,0.38,0
2012-02-02,0.17,0.39,0.01,0
2012-02-03,1.58,0.58,0.38,0
2012-02-06,-0.05,-0.25,-0.21,0
2012-02-07,0.16,-0.27,-0.09,0
2012-02-08,0.25,-0.14,0.46,0
2012-02-09,0.15,-0.36,-0.31,0
2012-02-10,-0.75,-0.61,-0.05,0
2012-02-13,0.75,0.6,-0.06,0
2012-02-14,-0.09,-0.39,-0.36,0
2012-02-15,-0.5,-0.29,0.09,0
2012-02-16,1.27,0.68,0.33,0
2012-02-17,0.16,-0.31,0.51,0
2012-02-21,-0.05,-0.66,0.26,0
2012-02-22,-0.39,-0.38,-0.66,0
2012-02-23,0.56,0.92,-0.03,0
2012-02-24,0.15,-0.46,-0.64,0
2012-02-27,0.14,-0.22,0.37,0
2012-02-28,0.28,-0.62,-0.11,0
2012-02-29,-0.55,-1.02,0.16,0
2012-03-01,0.64,-0.23,0.06,0
2012-03-02,-0.46,-1.25,-0.06,0
2012-03-05,-0.4,0.46,0.29,0
2012-03-06,-1.62,-0.3,-0.36,0
2012-03-07,0.8,0.3,0.28,0
2012-03-08,1.07,0.36,-0.25,0
2012-03-09,0.49,0.9,0.16,0
2012-03-12,-0.07,-0.21,-0.07,0
2012-03-13,1.86,0.08,0.97,0
2012-03-14,-0.23,-0.63,-0.2,0
2012-03-15,0.67,0.27,0.51,0
2012-03-16,0.06,-0.28,0.37,0
2012-03-19,0.41,0.53,-0.04,0
2012-03-20,-0.39,-0.64,0.3,0
2012-03-21,-0.1,0.3,-0.41,0
2012-03-22,-0.74,-0.13,-0.45,0
2012-03-23,0.39,0.56,0.36,0
2012-03-26,1.45,0.46,-0.21,0
2012-03-27,-0.3,-0.34,-0.34,0
2012-03-28,-0.52,-0.03,0.5,0
2012-03-29,-0.16,-0.03,-0.27,0
2012-03-30,0.28,-0.71,-0.04,0
2012-04-02,0.77,0.36,0.07,0
2012-04-03,-0.34,-0.29,-0.28,0
2012-04-04,-1.11,-0.57,-0.04,0
2012-04-05,-0.03,-0.1,-0.42,0
2012-04-09,-1.21,-0.45,-0.08,0
2012-04-10,-1.85,-0.41,0.09,0
2012-04-11,0.85,0.77,0.27,0
2012-04-12,1.44,0.06,0.29,0
2012-04-13,-1.25,-0.14,-0.76,0
2012-04-16,-0.09,0.15,0.82,0
2012-04-17,1.55,0.06,-0.21,0
2012-04-18,-0.43,-0.5,-0.45,0
2012-04-19,-0.57,-0.02,0.25,0
2012-04-20,0.11,0.54,-0.1,0
2012-04-23,-0.95,-0.56,0.15,0
2012-04-24,0.29,0.26,0.91,0
2012-04-25,1.44,0.4,-0.98,0
2012-04-26,0.75,-0.02,-0.06,0
2012-04-27,0.35,0.69,-0.25,0
2012-04-30,-0.49,-0.57,0,0
2012-05-01,0.48,-0.86,0.41,0
2012-05-02,-0.15,0.72,-0.67,0
2012-05-03,-0.92,-0.62,0.01,0
2012-05-04,-1.62,-0.26,0.18,0
2012-05-07,0.04,0.14,0.46,0
2012-05-08,-0.41,0.33,0.32,0
2012-05-09,-0.62,0.16,-0.24,0
2012-05-10,0.29,0.06,0.56,0
2012-05-11,-0.29,0.27,-1.07,0
2012-05-14,-1.14,-0.06,-0.16,0
2012-05-15,-0.52,0.51,-0.21,0
2012-05-16,-0.44,-0.16,-0.45,0
2012-05-17,-1.64,-0.48,0.38,0
2012-05-18,-0.8,-0.13,0.07,0
2012-05-21,1.69,0.65,-1.1,0
2012-05-22,0,-0.91,0.35,0
2012-05-23,0.26,0.5,-0.23,0
2012-05-24,0.16,-0.03,0.18,0
2012-05-25,-0.16,0.24,-0.14,0
2012-05-29,1.14,0.16,-0.02,0
2012-05-30,-1.47,-0.27,-0.32,0
2012-05-31,-0.23,0.16,0.53,0
2012-06-01,-2.6,-0.53,0.06,0
2012-06-04,-0.05,0.14,-0.59,0
2012-06-05,0.68,0.24,0.17,0
2012-06-06,2.32,0.04,0.28,0
2012-06-07,-0.1,-0.47,0.21,0
2012-06-08,0.85,0.2,0.05,0
