"","date","w_t0","w_t1","w_t2","w_t3","w_t4","w_t5","w_t6","w_ge_t7"
"386",2019-02-19,0,0,0,1,0,0,0,0
"387",2019-02-20,0,0,0,1,0,0,0,0
"388",2019-02-21,0,0,0,1,0,0,0,0
"389",2019-02-22,0,0,0,1,0,0,0,0
"390",2019-02-23,0,0,0,1,0,0,0,0
"391",2019-02-24,0,0,0,1,0,0,0,0
"392",2019-02-25,0,0,0,1,0,0,0,0
"393",2019-02-26,0,0,0,0,1,0,0,0
"394",2019-02-27,0,0,0,0,1,0,0,0
"395",2019-02-28,0,0,0,0,1,0,0,0
"396",2019-03-01,0,0,0,0,1,0,0,0
"397",2019-03-02,0,0,0,0,1,0,0,0
"398",2019-03-03,0,0,0,0,1,0,0,0
"399",2019-03-04,0,0,0,0,1,0,0,0
"400",2019-03-05,0,0,0,0,0,1,0,0
"401",2019-03-06,0,0,0,0,0,1,0,0
"402",2019-03-07,0,0,0,0,0,1,0,0
"403",2019-03-08,0,0,0,0,0,1,0,0
"404",2019-03-09,0,0,0,0,0,1,0,0
"405",2019-03-10,0,0,0,0,0,1,0,0
"406",2019-03-11,0,0,0,0,0,1,0,0
"407",2019-03-12,0,0,0,0,0,0,1,0
"408",2019-03-13,0,0,0,0,0,0,1,0
"409",2019-03-14,0,0,0,0,0,0,1,0
"410",2019-03-15,0,0,0,0,0,0,1,0
"411",2019-03-16,0,0,0,0,0,0,1,0
"412",2019-03-17,0,0,0,0,0,0,1,0
"413",2019-03-18,0,0,0,0,0,0,1,0
"414",2019-03-19,1,0,0,0,0,0,0,0
"415",2019-03-20,1,0,0,0,0,0,0,0
"416",2019-03-21,1,0,0,0,0,0,0,0
"417",2019-03-22,1,0,0,0,0,0,0,0
"418",2019-03-23,1,0,0,0,0,0,0,0
"419",2019-03-24,1,0,0,0,0,0,0,0
"420",2019-03-25,1,0,0,0,0,0,0,0
"421",2019-03-26,0,1,0,0,0,0,0,0
"422",2019-03-27,0,1,0,0,0,0,0,0
"423",2019-03-28,0,1,0,0,0,0,0,0
"424",2019-03-29,0,1,0,0,0,0,0,0
"425",2019-03-30,0,1,0,0,0,0,0,0
"426",2019-03-31,0,1,0,0,0,0,0,0
"427",2019-04-01,0,1,0,0,0,0,0,0
"428",2019-04-02,0,0,1,0,0,0,0,0
"429",2019-04-03,0,0,1,0,0,0,0,0
"430",2019-04-04,0,0,1,0,0,0,0,0
"431",2019-04-05,0,0,1,0,0,0,0,0
"432",2019-04-06,0,0,1,0,0,0,0,0
"433",2019-04-07,0,0,1,0,0,0,0,0
"434",2019-04-08,0,0,1,0,0,0,0,0
"435",2019-04-09,0,0,0,1,0,0,0,0
"436",2019-04-10,0,0,0,1,0,0,0,0
"437",2019-04-11,0,0,0,1,0,0,0,0
"438",2019-04-12,0,0,0,1,0,0,0,0
"439",2019-04-13,0,0,0,1,0,0,0,0
"440",2019-04-14,0,0,0,1,0,0,0,0
"441",2019-04-15,0,0,0,1,0,0,0,0
"442",2019-04-16,0,0,0,0,1,0,0,0
"443",2019-04-17,0,0,0,0,1,0,0,0
"444",2019-04-18,0,0,0,0,1,0,0,0
"445",2019-04-19,0,0,0,0,1,0,0,0
"446",2019-04-20,0,0,0,0,1,0,0,0
"447",2019-04-21,0,0,0,0,1,0,0,0
"448",2019-04-22,0,0,0,0,1,0,0,0
"449",2019-04-23,0,0,0,0,0,1,0,0
"450",2019-04-24,0,0,0,0,0,1,0,0
"451",2019-04-25,0,0,0,0,0,1,0,0
"452",2019-04-26,0,0,0,0,0,1,0,0
"453",2019-04-27,0,0,0,0,0,1,0,0
"454",2019-04-28,0,0,0,0,0,1,0,0
